level_0,ObjID,FieldID,FieldMJD,AstRange(km),AstRangeRate(km/s),AstRA(deg),AstRARate(deg/day),AstDec(deg),AstDecRate(deg/day),Ast-Sun(J2000x)(km),Ast-Sun(J2000y)(km),Ast-Sun(J2000z)(km),Ast-Sun(J2000vx)(km/s),Ast-Sun(J2000vy)(km/s),Ast-Sun(J2000vz)(km/s),Obs-Sun(J2000x)(km),Obs-Sun(J2000y)(km),Obs-Sun(J2000z)(km),Obs-Sun(J2000vx)(km/s),Obs-Sun(J2000vy)(km/s),Obs-Sun(J2000vz)(km/s),Sun-Ast-Obs(deg),V(H=0,r,u-r,g-r,i-r,z-r,y-r,GS,FORMAT,q,e,incl,node,argperi,t_p,H,t_0,optFilter,seeingFwhmGeom,seeingFwhmEff,fiveSigmaDepth,fieldRA,fieldDec,rotSkyPos,MagnitudeInFilter,detectorID,detection_probability,AstrometricSigma(mas),PhotometricSigma(mag),SNR,AstrometricSigma(deg),dmagDetect,dmagVignet,AstRATrue(deg),AstDecTrue(deg),counter
40,S1000000a,894816,61769.320619,393817194.335,-22.515,164.03771303824692,0.059181,-17.582580552819792,-0.103034,-381360770.152,236918119.898,-61023282.708,-8.456,-15.118,-2.703,-20416770.015,133676144.369,57941007.918,-30.238,-4.221,-1.691,18.341701,5.454,19.655345514799397,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,r,1.0585375509059165,1.2244982371118207,23.86356436464961,163.87542090842982,-18.84327137012991,115.45370443821976,19.64655658871481,66.0,1.0,10.729784460387442,0.006628802270211075,163.29121492778498,2.9804956834409562e-06,0.0,0.024160628591893902,164.037713,-17.582575,19
41,S1000000a,894838,61769.332335,393794417.661,-22.487,164.03840864412064,0.058995,-17.583780842678873,-0.102901,-381369329.791,236902814.698,-61026019.437,-8.455,-15.119,-2.703,-20447365.99,133671859.702,57939294.809,-30.213,-4.244,-1.694,18.340845,5.454,19.65519024392603,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,i,0.9631717587923919,1.108481458384905,23.50948086026021,163.87542090842982,-18.84327137012991,120.71163574339583,19.6647440813649,59.0,1.0,10.970060401192828,0.008440716649534224,128.1314560887323,3.047239000331341e-06,0.0,0.024072492529955896,164.038405,-17.583782,19
42,S1000000a,897478,61773.283672,386228488.529,-22.131,164.25273374903634,0.039576,-17.970832972042192,-0.094141,-384224280.492,231721359.793,-61943876.273,-8.269,-15.233,-2.673,-30627123.481,132014807.04,57220279.418,-29.914,-6.079,-2.515,18.034121,5.401,19.602460273919007,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,g,0.9868254867575018,1.1372572831599779,24.412081324532746,163.33185289781585,-17.478349047859123,162.97581185764338,19.60079460132094,87.0,1.0,10.301419180419062,0.004526637444984002,239.35525473454618,2.861505327894184e-06,0.0,0.009340268793615214,164.252727,-17.970833,20
43,S1000000a,897521,61773.304607,386188501.111,-22.083,164.25355094436338,0.039144,-17.972805439659155,-0.093902,-384239237.031,231693803.534,-61948711.956,-8.268,-15.234,-2.673,-30681195.52,132003768.602,57215726.397,-29.873,-6.125,-2.519,18.032243,5.401,19.602170999259833,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,r,0.8294522041819586,0.9458056011945969,24.142184414583568,163.33185289781585,-17.478349047859123,168.6467719764606,19.60435071975272,87.0,1.0,10.297441541946213,0.005347284236832387,202.5448263638026,2.8604004283183925e-06,0.0,0.009385878789113379,164.253551,-17.972801,20
44,S1000000a,901987,61780.286672,373248905.349,-21.066,164.43645204371023,0.002922,-18.561285773042723,-0.07548,-389126790.877,222443940.408,-63545108.109,-7.934,-15.43,-2.619,-48266785.11,127507817.097,55267060.018,-28.862,-9.385,-3.93,17.323606,5.302,19.503918936275245,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,i,0.9068245232535533,1.0399325100408192,23.1343489868631,163.70205228035468,-18.10471138055092,187.81327498955335,19.500867988919268,127.0,0.9999999999999998,11.173260573505297,0.009900549700902551,109.16499446284683,3.10368349264036e-06,0.0,0.0037491753032292342,164.43645,-18.561288,21
45,S1000000a,902035,61780.310927,373204819.554,-21.007,164.43651570118163,0.00252,-18.563116227599355,-0.075163,-389143418.467,222411602.806,-63550596.536,-7.933,-15.43,-2.619,-48327213.292,127488100.221,55258819.247,-28.807,-9.431,-3.935,17.320679,5.302,19.50356266360978,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,z,0.7805314609808429,0.8862913150618527,22.968207967454678,163.70205228035468,-18.10471138055092,200.18872133947295,19.505214449690936,131.0,0.9999999999999991,11.112567673709725,0.011178378448032267,96.62909618575709,3.0868243538082566e-06,0.0,0.0037666222788237825,164.436516,-18.563115,21
46,S1000000a,902571,61781.239134,371534876.382,-20.997,164.44201454088488,-0.001262,-18.631193661349776,-0.073149,-389777900.512,221173033.236,-63760330.322,-7.889,-15.456,-2.611,-50613272.386,126744598.915,54935866.81,-28.771,-9.736,-4.117,17.210493,5.289,19.490063419210983,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,i,0.8729001397761565,0.998661970530604,22.85013563621249,163.95033588103914,-18.031113105727716,182.04657748682206,19.471500543131164,131.0,0.9999999999999973,11.591480215727115,0.01208456943229569,89.34576732815877,3.2198556154797543e-06,0.0,0.0015508133228417595,164.442015,-18.631194,22
47,S1000000a,902621,61781.263141,371491375.962,-20.946,164.44197633773774,-0.001877,-18.632940349925764,-0.072865,-389794263.291,221140971.639,-63765747.128,-7.887,-15.456,-2.611,-50672905.764,126724342.868,54927321.42,-28.728,-9.794,-4.122,17.207515,5.288,19.489707623274615,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,z,0.6875192198635273,0.7731377370602521,22.899894717824814,163.95033588103914,-18.031113105727716,185.3378463949102,19.484558538420348,131.0,0.9999999999999984,10.943905828376263,0.011639955692990079,92.7775547010046,3.0399738412156283e-06,0.0,0.00161082142531856,164.441977,-18.632947,22
48,S1000000a,907363,61789.27659,357645989.419,-19.284,164.29665284373095,-0.044904,-19.110175462301605,-0.046914,-395121356.907,210364144.802,-65551624.292,-7.499,-15.67,-2.547,-69798126.913,118899377.107,51536561.967,-26.938,-13.39,-5.658,16.095844,5.167,19.36922053416295,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,z,0.6409069616888834,0.7164318268721209,23.293210067462763,164.99043640246796,-19.09523631317997,138.73696996964668,19.360472509764524,144.0,1.0,10.400455117992829,0.00804018245299266,134.53936916267244,2.8890153105535636e-06,0.0,8.634764937934335e-05,164.296651,-19.110176,23
49,S1000000a,907416,61789.302348,357603146.65,-19.218,164.29548253573273,-0.045256,-19.111378582321095,-0.046535,-395138044.319,210329268.28,-65557292.489,-7.497,-15.671,-2.547,-69858006.551,118869528.939,51523965.284,-26.875,-13.433,-5.663,16.09172,5.167,19.368819009386538,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,i,0.7758624997894394,0.8806113136124567,23.635572942785267,164.99043640246796,-19.09523631317997,157.3180266746665,19.359082712378097,106.0,1.0,10.369186412230865,0.0063770814406826975,169.7564623293523,2.880329558953018e-06,0.0,9.250883580955208e-05,164.295489,-19.11138,23
