ObjID,fieldMJD_TAI,fieldRA_deg,fieldDec_deg,RA_deg,Dec_deg,astrometricSigma_deg,optFilter,trailedSourceMag,trailedSourceMagSigma,fiveSigmaDepth_mag,phase_deg,Range_LTC_km,RangeRate_LTC_km_s,Obj_Sun_LTC_km
2011_OB60,60225.247167832895,2.8340798,-12.1940649,1.9825669,-11.8954983,7.5e-06,i,22.475,0.064,23.811,0.5514796131053122,5381400132.572543,8.911895040476287,5521397111.153749
2011_OB60,60225.27094733885,2.8340798,-12.1940649,1.9821049,-11.8957003,1.97e-05,z,22.455,0.14,22.883,0.5519774373074169,5381418504.312488,8.97078700506411,5521396245.784194
2011_OB60,60225.28270233429,2.8340798,-12.1940649,1.98187,-11.8957849,1.37e-05,z,22.451,0.118,23.081,0.5522233481981429,5381427629.198306,8.99782120737069,5521395818.016169
2011_OB60,60227.24471872862,1.8303656,-10.6534197,1.9444064,-11.9115386,1.25e-05,r,22.664,0.073,23.764,0.5935019031553365,5382985829.821446,9.890004818885805,5521324456.507859
2011_OB60,60227.26843110208,1.8303656,-10.6534197,1.9439496,-11.9117068,1.05e-05,i,22.505,0.08,23.556,0.5940086408444182,5383006152.782794,9.947927999673404,5521323594.47957
2011_OB60,60229.23294578834,1.7408953,-11.3674473,1.9068661,-11.9269048,6.4e-06,g,23.078,0.05,24.69,0.6359862246220302,5384729639.820715,10.834058677340174,5521252216.560329
2011_OB60,60229.25681096732,1.7408953,-11.3674473,1.906429,-11.9270846,1.19e-05,r,22.539,0.072,23.793,0.6365024755779858,5384752041.250484,10.893584455520646,5521251349.911665
2011_OB60,60230.18746404967,2.7692539,-11.3368188,1.8890532,-11.934075,5.3e-06,r,22.673,0.044,24.369,0.656511920586929,5385624478.813022,11.192599434646272,5521217562.0051365
2010_TU149,60230.2013547434,15.8870303,2.6105284,16.2908711,3.3663251,3.3e-06,r,21.068,0.018,24.304,2.7059212411065587,95234455.08975296,-19.599087872545915,244356465.5755924
2011_OB60,60230.21124082722,2.7692539,-11.3368188,1.8886028,-11.9342471,7.4e-06,i,22.532,0.063,23.833,0.657028918755899,5385647540.167503,11.259232132406812,5521216699.0213375
2010_TU149,60230.22511697796,15.8870303,2.6105284,16.2732022,3.3588778,3.9e-06,i,20.888,0.024,23.681,2.723994416493733,95194288.60307088,-19.52721629526894,244312929.4142877
2011_OB60,60232.03908176997,1.5110164,-10.7228679,1.8548342,-11.9475402,1.99e-05,g,23.24,0.093,23.977,0.6964187522371832,5387468765.180287,11.729784631087195,5521150387.206788
2010_TU149,60232.16553098904,15.6128298,3.1338696,14.8237286,2.7318107,6.3e-06,g,21.727,0.03,24.098,4.519267478945551,91989767.7259082,-18.608232582504293,240739724.22612572
2010_TU149,60232.20999081624,15.6128298,3.1338696,14.7884564,2.7169807,4.3e-06,r,21.088,0.022,23.892,4.566320457677455,91918544.7618962,-18.47176397944272,240657432.73436472
2011_OB60,60234.13285997302,359.896791,-12.3963801,1.8167387,-11.9621425,2.35e-05,g,23.04,0.127,23.621,0.741583738945773,5389719563.883288,12.934069033652444,5521074505.936878
2011_OB60,60234.13332404954,2.7816925,-12.3754231,1.8167053,-11.9621229,1.34e-05,g,23.048,0.073,24.26,0.7415938631020172,5389720083.5508,12.93543687433064,5521074489.093968
2010_TU149,60234.1415233523,12.6606525,1.7700692,13.2512998,2.0543625,5.6e-06,g,21.76,0.029,24.219,6.713317132390815,88908847.56134321,-17.556122526498022,237063951.55333844
2010_TU149,60235.14308282596,11.6784565,0.9782519,12.4174958,1.6963726,3.9e-06,r,21.097,0.021,24.064,7.906076413872282,87418570.88395715,-16.98060707246067,235186337.92054805
2010_TU149,60235.16681907245,11.6784565,0.9782519,12.3969012,1.6877739,5.4e-06,i,20.88,0.03,23.374,7.935311918411886,87383818.48167293,-16.906965654230618,235141718.94446146
2011_OB60,60238.19810562847,2.4697205,-13.2772062,1.7448786,-11.9882738,1.76e-05,z,22.5,0.133,22.979,0.8283643470233596,5394587065.970324,14.950030259353454,5520927415.3723135
2011_OB60,60238.22240158034,2.4697205,-13.2772062,1.7444557,-11.9884007,1.09e-05,i,22.386,0.081,23.563,0.8288821915367447,5394618514.368891,15.011738522349114,5520926537.234285
2011_OB60,60239.0229414571,3.3965072,-11.5521729,1.73077,-11.9932193,1.34e-05,i,22.592,0.098,23.352,0.8456871889191067,5395652682.309738,14.905893091523946,5520897609.361582
2011_OB60,60239.02339024546,1.1090127,-13.1695364,1.730793,-11.9932053,2.47e-05,i,22.291,0.128,23.033,0.8456967300401905,5395653260.585459,14.907008259398628,5520897593.140198
2011_OB60,60239.04738474084,3.3965072,-11.5521729,1.7303552,-11.9933771,1.95e-05,z,22.558,0.145,22.88,0.8462067356394004,5395684227.553597,14.968992625656504,5520896726.295184
2011_OB60,60239.04783349029,1.1090127,-13.1695364,1.730357,-11.9933717,1.77e-05,z,22.56,0.134,22.97,0.8462162815231381,5395684808.278844,14.970193404368956,5520896710.074014
