observationId,observationStartMJD_TAI,visitTime,visitExposureTime,filter,seeingFwhmGeom_arcsec,seeingFwhmEff_arcsec,fieldFiveSigmaDepth_mag,fieldRA_deg,fieldDec_deg,fieldRotSkyPos_deg,MJD_TDB,RA_INTERP,DEC_INTERP,delta,r,S-T-O,DISTANCE,mag,ObjID
5736,60225.24697107363,34.0,30.0,i,0.6919841189711502,0.7785694877994528,23.816503900838622,2.8340797698367206,-12.194064864430457,279.31579289995756,60225.247540313765,1.9825186591893889,-11.89550741707755,35.972328463563564,36.90814786128586,0.5463458051973971,0.8847107157753664,22.476470986218047,2011 OB60
5786,60225.27075057959,34.0,30.0,z,0.852762317161933,0.9741634028733978,22.887677121959907,2.8340797698367206,-12.194064864430457,283.55376909139835,60225.27131981972,1.9820548809875664,-11.895700668347432,35.97245129597225,36.90814207697471,0.5468700540420781,0.8850722430049538,22.46654178205746,2011 OB60
5812,60225.28250557503,34.0,30.0,z,0.7005849425485994,0.7890327768231136,23.08598380295706,2.8340797698367206,-12.194064864430457,284.95767000336986,60225.28307481516,1.9818259579196789,-11.895796092281024,35.97251230466414,36.90813921762317,0.5471,0.8852507295063078,22.466573243599367,2011 OB60
5862,60225.306220106,34.0,30.0,y,0.8642315296317048,0.9881162160969644,21.860029120174854,2.8340797698367206,-12.194064864430457,286.8139885232497,60225.306789346134,1.981364901974919,-11.895988404037606,35.97263591320624,36.90813344921674,0.5476,0.8856102559180896,22.466641129213208,2011 OB60
7438,60227.24452196936,34.0,30.0,r,1.0472987359345183,1.2108257128157158,23.78792581490982,1.830365601304555,-10.653419743409385,225.17737901732679,60227.24509120953,1.944361928643247,-11.911544758222549,35.9829286703273,36.907662212036136,0.5882,1.2630818386545417,22.592144972980197,2011 OB60
7488,60227.26823434282,34.0,30.0,i,0.8001080952929525,0.9101071718892365,23.57995126864981,1.830365601304555,-10.653419743409385,229.21006359622515,60227.268803582985,1.943904506447939,-11.911730496363358,35.983064544373406,36.90765645008929,0.5887077159771406,1.2632272280961023,22.482213944828032,2011 OB60
8248,60228.2320982479,34.0,30.0,y,0.8287130854212956,0.9449064299529144,22.116890149794017,1.5853750239774231,-12.795350891587582,212.84055372557253,60228.23266748809,1.925662693745928,-11.919255100039328,35.98858073512368,36.907422298054115,0.6092,0.9370345284564969,22.474993568028253,2011 OB60
8298,60228.25448406443,34.0,30.0,y,0.9943831352295244,1.1464515027123168,21.850138356114513,1.5853750239774231,-12.795350891587582,217.05369136740032,60228.25505330462,1.925233113957642,-11.919427198231013,35.988714901183535,36.907416861264636,0.6097,0.9367247874647362,22.475061232891576,2011 OB60
9100,60229.23274902908,34.0,30.0,g,0.7389980894128643,0.835764099042414,24.689706821972628,1.7408953022743148,-11.367447303472217,300.81545955559216,60229.233318269304,1.9068316503708116,-11.926915298422587,35.99458578058881,36.90717933470656,0.6306,0.5825949048518295,23.077898644901577,2011 OB60
9150,60229.256614208054,34.0,30.0,r,1.0162228044264903,1.173020443341229,23.793181284412043,1.7408953022743148,-11.367447303472217,305.2596922236384,60229.25718344828,1.906376803094175,-11.927095049611045,35.99473555387574,36.90717354167395,0.6311344165909781,0.5826434322549506,22.59797103459339,2011 OB60
9841,60230.18726729041,34.0,30.0,r,0.6601491984155319,0.7398408739848319,24.379152509184507,2.7692539237126224,-11.336818754683701,237.75073522427897,60230.18783653066,1.8890046640357598,-11.934078760805585,36.00056758217693,36.90694769158899,0.6511,1.0488243088040874,22.600683546117825,2011 OB60
9891,60230.21104406796,34.0,30.0,i,0.6899284702863342,0.7760686986451754,23.84325060890759,2.7692539237126224,-11.336818754683701,249.01310759791113,60230.21161330822,1.8885533804914965,-11.934254710720973,36.00072177389899,36.90694192291142,0.6516,1.049287623104943,22.490751819167727,2011 OB60
11137,60232.015456713794,31.0,30.0,u,1.2196298802353778,1.4204743068556906,23.254616728755543,1.5110164143244003,-10.722867861970427,113.43415003089248,60232.016008593026,1.8552449281762784,-11.947388861398409,36.01273767285369,36.906504354183895,0.6905,1.2701821049824051,24.3260443535004,2011 OB60
11187,60232.03888501071,34.0,30.0,g,1.324418230932066,1.547954052228791,24.00163771157964,1.5110164143244003,-10.722867861970427,117.20574478558979,60232.039454251055,1.8548075937211148,-11.947557216956294,36.01289614969051,36.90649867129883,0.691,1.2702305268075957,23.086112352485937,2011 OB60
12568,60234.1097207412,31.0,30.0,u,1.0138864306510336,1.1701781394781432,23.690629370608956,2.781692525280924,-12.375423100526417,165.8027833474624,60234.11027262055,1.817097518707876,-11.961970850945209,36.027771297096386,36.90599701295675,0.7356,1.0295818565714971,24.332195633868405,2011 OB60
12618,60234.13312729028,34.0,30.0,g,1.1287675649396618,1.309936210388883,24.270312867434978,2.781692525280924,-12.375423100526417,188.01256546211866,60234.13369653074,1.81666644452788,-11.962129877350316,36.0279458602495,36.90599134161728,0.7361,1.0299037044375638,23.092263997509185,2011 OB60
13569,60235.199828230456,34.0,30.0,y,0.6746975428786242,0.7575395898766717,22.393913058504765,2.840502644540909,-13.109554915945491,159.37510198867494,60235.20039747099,1.797511999412885,-11.969266760523034,36.03606818057801,36.905733148911025,0.7591,1.528649289722543,22.495407271895296,2011 OB60
13619,60235.2226285365,34.0,30.0,y,0.7610275003654491,0.862563869057724,22.2080685992427,2.840502644540909,-13.109554915945491,165.46614343677203,60235.223197777035,1.7970978279144958,-11.969416354239854,36.036247573724175,36.90572763173759,0.7596,1.528806816115468,22.49547562392796,2011 OB60
15190,60238.19790886921,34.0,30.0,z,0.7999530152562454,0.9099185100440942,23.02364962577869,2.4697205363666157,-13.277206151904853,272.9721182867293,60238.19847810997,1.7448557517334278,-11.988274204758813,36.060480610892725,36.90500824855348,0.8229,1.4702444078041605,22.504166488529798,2011 OB60
15240,60238.22220482108,34.0,30.0,i,0.8171620086220132,0.9308540250876073,23.60793974307041,2.4697205363666157,-13.277206151904853,278.37081503335907,60238.22277406184,1.7444283888999348,-11.98842078560549,36.06069085881893,36.90500237878176,0.8235,1.4703164844400956,22.51424725221856,2011 OB60
15625,60239.02274469784,34.0,30.0,i,0.8359213853938072,0.9536756513306658,23.43679541621365,3.396507175104697,-11.552172886918086,101.68200237438371,60239.02331393867,1.7307380362245144,-11.993224357807966,36.067603803587645,36.90480901463363,0.8403,1.6893139264874242,22.51656494164049,2011 OB60
15626,60239.0231934862,34.0,30.0,i,1.1761107508718962,1.3675313270947642,23.061540813155542,1.1090126866846501,-13.16953641621234,101.20233485780143,60239.02376272703,1.7307302189005982,-11.993227037182947,36.067607667797375,36.90480890625441,0.8403,1.3235864622124998,22.516565167910603,2011 OB60
15675,60239.04718798158,34.0,30.0,z,0.8103802504585016,0.9226037110200749,22.96422207824167,3.396507175104697,-11.552172886918086,107.62621042874889,60239.04775722241,1.7303119571468344,-11.993370130373705,36.067814702442085,36.90480311183395,0.8408,1.6897542115109438,22.50663411092014,2011 OB60
15676,60239.047636731026,34.0,30.0,z,0.7974608611303305,0.9068866923726648,22.997944946461022,1.1090126866846501,-13.16953641621234,107.7070809472176,60239.048205971856,1.7303041297339414,-11.993372803054273,36.06781858277152,36.90480300346631,0.8408,1.3232662339327887,22.50663433816006,2011 OB60
20754,60247.024395280656,34.0,30.0,i,0.6536456320369085,0.7319289927456308,23.37941077463573,2.081139501992465,-13.357190304617044,158.66378608718904,60247.02496452233,1.601009703024868,-12.034760136423632,36.14533715319436,36.902880787191144,1.0026,1.4029255276932953,22.539243194487305,2011 OB60
20756,60247.0252921434,34.0,30.0,i,0.6752885491659764,0.7582585756277085,23.315960527500387,1.498300217977258,-10.378027460672737,163.35889173029778,60247.025861385075,1.600995722723435,-12.034764144945882,36.14534662670556,36.90288057152643,1.0026,1.6597962784386315,22.539243750928897,2011 OB60
20804,60247.04829930703,34.0,30.0,z,0.6893823165315726,0.7754042780189447,22.91494864846706,2.081139501992465,-13.357190304617044,168.58049291670955,60247.04886854871,1.600636901351105,-12.034866795607757,36.14559007504249,36.902875039118754,1.0031,1.4029464238250502,22.52931287070705,2011 OB60
20806,60247.04919906681,34.0,30.0,z,0.6656028754641552,0.7464755175962958,22.931951831491805,1.498300217977258,-10.378027460672737,174.04026602690078,60247.04976830848,1.6006228629386074,-12.03487080306598,36.14559961273066,36.90287482276376,1.0031,1.6598805837295254,22.52931343095952,2011 OB60
20847,60247.06768193466,34.0,30.0,z,0.6947886489709026,0.78198132478212,22.86320922644789,2.081139501992465,-13.357190304617044,181.40609722982563,60247.06825117634,1.6003344237266812,-12.034953009023727,36.14579582523873,36.90287037834004,1.0035,1.4029637603959522,22.529368808657775,2011 OB60
20848,60247.068129898296,34.0,30.0,z,0.7008417594125361,0.7893452060979759,22.83746126763345,1.498300217977258,-10.378027460672737,186.41011355264703,60247.06869913997,1.6003274318335081,-12.034954999058826,36.14580058763695,36.90287027062012,1.0035,1.659947128349131,22.529369088422087,2011 OB60
20897,60247.09232508675,34.0,30.0,y,0.7659169130524135,0.868512059674469,22.126512647958542,2.081139501992465,-13.357190304617044,204.9176402559933,60247.09289432843,1.5999497834651377,-12.035062260548818,36.146058306386465,36.902864452677356,1.0039,1.402986261444185,22.529428076396925,2011 OB60
20898,60247.092774570665,34.0,30.0,y,0.7732616656111774,0.8774472817654226,22.098151375330467,1.498300217977258,-10.378027460672737,207.45624929913393,60247.09334381235,1.599942768261603,-12.03506424956958,36.14606310333473,36.90286434459423,1.003941508935199,1.6600334749533303,22.529432908185772,2011 OB60
9872,60230.20115798414,34.0,30.0,r,0.6661763271496924,0.747173147384054,24.308542664894816,15.887030292262942,2.610528423589063,214.40319596430237,60230.201727224405,16.290249296778004,3.36605174357859,0.6365942127402155,1.6334125434665725,2.700743601674781,0.8561289729748156,21.066101657434707,2010 TU149
9922,60230.2249202187,34.0,30.0,i,0.7569667415684743,0.8576237731976573,23.684732354372468,15.887030292262942,2.610528423589063,226.56545449610255,60230.225489458964,16.272575464262143,3.3586034908268534,0.6363257471303704,1.6331215181417378,2.7187524106444463,0.8413419574473603,20.876216883643274,2010 TU149
11461,60232.16533422978,34.0,30.0,g,1.208681046790204,1.4071545581389344,24.10276314770108,15.612829800611069,3.133869551969822,165.57136452858782,60232.16590347013,14.823077821224464,2.731513694158523,0.6149052895116589,1.6092360187711978,4.512330697954882,0.8854169558703234,21.732499282823284,2010 TU149
11557,60232.20979405698,34.0,30.0,r,0.9426855254210996,1.083559033359002,23.897997306648758,15.612829800611069,3.133869551969822,189.92024167960554,60232.21036329733,14.78778958383957,2.7166938744050713,0.6144292587721232,1.6086859340108852,4.5594385180311265,0.923553484440692,21.082882180683473,2010 TU149
11654,60232.256087488,34.0,30.0,y,0.7744802537922173,0.8789297491389505,22.103969638868442,15.612829800611069,3.133869551969822,208.82372854986275,60232.25665672836,14.751059790605714,2.7012280794287475,0.6139372353512229,1.6081130284639455,4.608509982389818,0.9632749558122227,20.943274549156914,2010 TU149
12586,60234.11728664694,31.0,30.0,u,1.1234589968873236,1.30347809840307,23.457294425233677,12.660652540934704,1.7700691849902304,164.70434532182503,60234.11783852629,13.270853023170151,2.06252743482597,0.5945555448273947,1.584965572192993,6.677549981962156,0.6763573662778983,23.220508688352293,2010 TU149
12636,60234.14132659304,34.0,30.0,g,1.0926091117244008,1.2659478244822395,24.218747305704703,12.660652540934704,1.7700691849902304,177.2332313598888,60234.1418958335,13.250600733870316,2.0540519133052366,0.5943111205886183,1.5846649026047448,6.706063999917522,0.6544439509257838,21.74054119531679,2010 TU149
13449,60235.1428860667,34.0,30.0,r,0.8230751908339389,0.9380476774135509,24.07356246647207,11.678456513921239,0.978251911680563,102.53458458361222,60235.143455307225,12.416770228409924,1.6960572580168245,0.5843495064832873,1.5721137726388525,7.898718078638255,1.0295861671758304,21.089790622333297,2010 TU149
13499,60235.16662231319,34.0,30.0,i,1.0062164416090318,1.1608472525657323,23.383111997880782,11.678456513921239,0.978251911680563,116.72707749170962,60235.16719155372,12.396175801375298,1.687456356673904,0.5841172426402798,1.5718155214377905,7.9279802537189275,1.0088640263669661,20.899762517877807,2010 TU149
