 ObjID FieldID FieldMJD AstRange(km) AstRangeRate(km/s) AstRA(deg) AstRARate(deg/day) AstDec(deg) AstDecRate(deg/day) Ast-Sun(J2000x)(km) Ast-Sun(J2000y)(km) Ast-Sun(J2000z)(km) Ast-Sun(J2000vx)(km/s) Ast-Sun(J2000vy)(km/s) Ast-Sun(J2000vz)(km/s) Obs-Sun(J2000x)(km) Obs-Sun(J2000y)(km) Obs-Sun(J2000z)(km) Obs-Sun(J2000vx)(km/s) Obs-Sun(J2000vy)(km/s) Obs-Sun(J2000vz)(km/s) Sun-Ast-Obs(deg) V V(H=0
0 S1000000a 144993 60425.402338 458272140.052 -21.379 302.104404 0.134147 3.473196 0.155803 120337437.532 -467360529.44 -6863861.395 15.814 3.135 3.395 -122770233.618 -79879875.157 -34626711.017 17.12 -22.269 -9.707 18.169656 20.115 5.915
1 S1000000a 145013 60425.411933 458254426.575 -21.355 302.105691 0.13405 3.474691 0.155787 120350548.117 -467357930.249 -6861046.878 15.813 3.135 3.395 -122756042.34 -79898326.109 -34634757.414 17.116 -22.244 -9.705 18.169632 20.115 5.915
2 S1000000a 180614 60503.206627 355295647.27 -4.213 299.360478 -0.185502 11.819392 0.002961 222559162.829 -434204364.757 15938036.863 14.472 6.666 3.359 52050159.823 -131110990.022 -56836222.957 27.873 9.424 4.014 10.189588 19.301 5.101
3 S1000000a 180664 60503.230597 355286994.232 -4.144 299.356031 -0.185547 11.81946 0.002695 222589133.907 -434190558.767 15944993.943 14.472 6.667 3.359 52107850.839 -131091407.626 -56827904.911 27.84 9.487 4.019 10.187081 19.301 5.101
4 S1000000a 183625 60507.194642 354133809.129 -2.598 298.635794 -0.188904 11.800365 -0.012248 227530687.962 -431878159.331 17094459.598 14.384 6.836 3.353 61402244.381 -127629446.799 -55326708.672 27.127 11.1 4.742 9.831253 19.281 5.081
5 S1000000a 188412 60525.083012 355859405.987 4.647 295.437612 -0.170714 10.997735 -0.074859 249442966.127 -420731768.152 22250873.216 13.966 7.584 3.318 99398520.388 -105273534.992 -45636487.29 22.444 17.804 7.714 9.864707 19.298 5.098
6 S1000000a 188413 60525.083426 355859572.391 4.648 295.437542 -0.170719 10.997704 -0.074863 249443466.133 -420731496.632 22250992.02 13.965 7.584 3.318 99399323.943 -105272897.507 -45636211.094 22.443 17.806 7.714 9.86474 19.298 5.098
7 S1000000a 188462 60525.105729 355868587.894 4.709 295.433731 -0.17094 10.996032 -0.075073 249470376.074 -420716882.481 22257386.035 13.965 7.585 3.318 99442560.657 -105238524.955 -45621342.859 22.431 17.87 7.718 9.866549 19.298 5.098
8 S1000000a 188463 60525.106178 355868770.689 4.711 295.433655 -0.170944 10.995998 -0.075077 249470918.034 -420716588.131 22257514.811 13.965 7.585 3.318 99443431.178 -105237831.422 -45621043.344 22.431 17.871 7.718 9.866585 19.298 5.098
9 S1000000a 188495 60525.120471 355874612.709 4.751 295.431211 -0.171028 10.994924 -0.075215 249488162.43 -420707221.851 22261612.3 13.965 7.585 3.318 99471122.932 -105215738.09 -45611511.678 22.418 17.911 7.72 9.867746 19.298 5.098
