index ObjID FieldID FieldMJD AstRange(km) AstRangeRate(km/s) AstRA(deg) AstRARate(deg/day) AstDec(deg) AstDecRate(deg/day) Ast-Sun(J2000x)(km) Ast-Sun(J2000y)(km) Ast-Sun(J2000z)(km) Ast-Sun(J2000vx)(km/s) Ast-Sun(J2000vy)(km/s) Ast-Sun(J2000vz)(km/s) Obs-Sun(J2000x)(km) Obs-Sun(J2000y)(km) Obs-Sun(J2000z)(km) Obs-Sun(J2000vx)(km/s) Obs-Sun(J2000vy)(km/s) Obs-Sun(J2000vz)(km/s) Sun-Ast-Obs(deg) V V(H=0)
4450 6 1567426 62959.261588 2506527693.778378 1.68 200.886886 -0.046883 2.965856 0.016485 -2484468969.019 -923014974.54 116436346.252 -3.229 -5.367 -3.169 -145791659.09 -30574271.465 -13253481.25 6.387 -27.071 -11.591 0.677073 32.485 12.485
4490 6 1594355 62997.18351 2543244366.200841 20.371 199.192333 -0.039818 3.426284 0.006423 -2494954896.679 -940561740.104 106050773.753 -3.172 -5.345 -3.171 -97356372.907 -105989364.265 -45944440.683 22.56 -18.009 -7.682 1.858882 32.636 12.636
4491 6 1594356 62997.183955 2543245149.028381 20.372 199.192315 -0.039817 3.426287 0.006423 -2494955018.551 -940561945.467 106050651.907 -3.172 -5.345 -3.171 -97355505.983 -105990056.301 -45944735.896 22.561 -18.008 -7.682 1.858902 32.636 12.636
4492 6 1594357 62997.184402 2543245936.784299 20.373 199.192297 -0.039816 3.426289 0.006423 -2494955141.181 -940562152.112 106050529.302 -3.172 -5.345 -3.171 -97354633.616 -105990752.615 -45945032.946 22.562 -18.008 -7.682 1.858922 32.636 12.636
4493 6 1599560 63007.181491 2562455994.448503 24.405 198.828088 -0.034175 3.472451 0.002724 -2497687953.072 -945175660.264 103311513.804 -3.157 -5.339 -3.172 -76798758.054 -119713238.331 -51892868.15 25.518 -14.217 -6.057 2.275845 32.686 12.686
4494 6 1599610 63007.20529 2562506234.923549 24.461 198.827276 -0.034088 3.472515 0.00271 -2497694443.174 -945186637.025 103304992.809 -3.157 -5.339 -3.172 -76746246.047 -119742410.392 -51905318.918 25.557 -14.157 -6.053 2.276781 32.686 12.686
4495 6 1600320 63008.061507 2564305834.111245 24.443 198.798911 -0.033746 3.474723 0.00242 -2497927889.586 -945581530.631 103070384.13 -3.155 -5.338 -3.172 -74876544.77 -120758980.403 -52347549.579 25.492 -14.018 -5.904 2.309715 32.69 12.69
4496 6 1600370 63008.085403 2564356369.354479 24.512 198.798105 -0.033739 3.474781 0.002404 -2497934403.3 -945592550.894 103063836.559 -3.155 -5.338 -3.172 -74823847.059 -120787897.066 -52359734.903 25.557 -13.993 -5.9 2.310646 32.691 12.691
4489 6 1594307 62997.160442 2543203829.791433 20.307 199.193252 -0.039869 3.426135 0.006438 -2494948575.798 -940551088.892 106057093.291 -3.172 -5.345 -3.171 -97401283.544 -105953424.693 -45929126.067 22.507 -18.055 -7.686 1.857849 32.636 12.636
4497 6 1604407 63014.07057 2577567552.656833 26.55 198.612572 -0.029749 3.482274 9.5e-05 -2499563561.979 -948351900.155 101423774.341 -3.146 -5.335 -3.172 -61317051.376 -127195666.266 -55136982.338 26.901 -11.529 -4.834 2.52759 32.719 12.719
4499 6 1604860 63016.027641 2582107624.44248 27.065 198.557237 -0.028353 3.481718 -0.000653 -2500095263.737 -949253774.95 100887461.291 -3.143 -5.334 -3.172 -56759322.969 -129010028.252 -55924055.906 27.184 -10.723 -4.475 2.592981 32.728 12.728
4500 6 1604909 63016.051401 2582163251.953029 27.131 198.556563 -0.028352 3.481702 -0.000669 -2500101715.789 -949264722.936 100880950.094 -3.143 -5.334 -3.172 -56703451.949 -129032021.032 -55933239.082 27.248 -10.702 -4.471 2.593773 32.728 12.728
4501 6 1604910 63016.05185 2582164303.634931 27.132 198.556551 -0.028352 3.481702 -0.000669 -2500101837.616 -949264929.656 100880827.149 -3.143 -5.334 -3.172 -56702395.742 -129032435.855 -55933412.397 27.249 -10.702 -4.471 2.593788 32.728 12.728
4502 6 1604947 63016.068614 2582203637.938341 27.18 198.556075 -0.028341 3.48169 -0.00068 -2500106390.006 -949272654.313 100876232.981 -3.143 -5.334 -3.172 -56662895.098 -129047922.399 -55939886.564 27.293 -10.681 -4.468 2.594347 32.728 12.728
4503 6 1604997 63016.092534 2582259879.868035 27.247 198.555398 -0.02831 3.481674 -0.000696 -2500112885.399 -949283676.01 100869677.911 -3.143 -5.334 -3.172 -56606428.136 -129069961.535 -55949116.623 27.352 -10.645 -4.464 2.595144 32.728 12.728
4504 6 1608044 63021.070934 2594257770.206713 28.644 198.427213 -0.02468 3.473448 -0.00262 -2501463143.815 -951576970.08 99505327.579 -3.136 -5.331 -3.172 -44744649.313 -133039354.558 -57670325.821 28.15 -8.514 -3.537 2.748251 32.75 12.75
4505 6 1608094 63021.093409 2594313452.275307 28.706 198.426659 -0.02464 3.473389 -0.002635 -2501469232.17 -951587320.137 99499168.069 -3.136 -5.331 -3.172 -44689935.666 -133055850.696 -57677189.849 28.202 -8.475 -3.533 2.748913 32.75 12.75
4498 6 1604859 63016.027193 2582106575.669523 27.063 198.55725 -0.028353 3.481718 -0.000653 -2500095141.941 -949253568.284 100887584.204 -3.143 -5.334 -3.172 -56760376.391 -129009612.708 -55923882.472 27.183 -10.723 -4.476 2.592966 32.728 12.728
4506 6 1608354 63021.212795 2594611035.539625 28.97 198.42374 -0.024204 3.47307 -0.002707 -2501501572.655 -951642299.632 99466448.471 -3.136 -5.331 -3.172 -44397935.765 -133141842.298 -57713517.922 28.383 -8.177 -3.511 2.752407 32.75 12.75
4488 6 1594306 62997.159995 2543203044.843506 20.305 199.19327 -0.03987 3.426133 0.006438 -2494948453.199 -940550882.305 106057215.862 -3.172 -5.345 -3.171 -97402153.56 -105952726.754 -45928828.965 22.506 -18.056 -7.686 1.857829 32.636 12.636
4486 6 1594184 62997.101821 2543101411.980835 20.135 199.195591 -0.039926 3.425757 0.006475 -2494932512.264 -940524020.91 106073153.084 -3.172 -5.345 -3.171 -97514901.14 -105861750.05 -45890177.106 22.354 -18.137 -7.694 1.855221 32.636 12.636
4470 6 1585729 62985.210802 2525081300.413625 14.954 199.691647 -0.044697 3.324747 0.01042 -2491664780.815 -935029799.453 109330464.692 -3.19 -5.352 -3.17 -118252482.438 -85615561.051 -37112174.102 18.245 -21.854 -9.343 1.309064 32.572 12.572
4471 6 1585779 62985.233345 2525110487.393904 15.016 199.69064 -0.04464 3.324981 0.010407 -2491670993.311 -935040222.119 109324290.179 -3.19 -5.352 -3.17 -118216897.741 -85658080.998 -37130369.633 18.294 -21.807 -9.341 1.310126 32.572 12.572
4472 6 1586413 62986.07326 2526199895.119395 15.034 199.653952 -0.044391 3.33363 0.010186 -2491902415.469 -935428539.111 109094233.739 -3.189 -5.351 -3.17 -116901574.22 -87207993.159 -37804301.355 18.268 -21.702 -9.234 1.349247 32.576 12.576
4473 6 1586463 62986.097599 2526231581.735951 15.103 199.652871 -0.044429 3.333878 0.010172 -2491909120.133 -935439791.054 109087567.214 -3.188 -5.351 -3.17 -116863085.083 -87253625.713 -37823715.257 18.339 -21.697 -9.231 1.350396 32.577 12.577
4474 6 1587832 62988.154969 2529023987.896837 16.227 199.563687 -0.043748 3.354105 0.009499 -2492475589.196 -936390818.083 108524029.977 -3.185 -5.35 -3.17 -113534502.466 -90986554.739 -39440934.367 19.282 -21.044 -8.964 1.4465 32.588 12.588
4475 6 1587882 62988.178832 2529057516.457937 16.298 199.562643 -0.04372 3.354331 0.009484 -2492482156.127 -936401847.317 108517493.665 -3.185 -5.35 -3.171 -113494683.022 -91029904.619 -39459412.665 19.344 -21.007 -8.961 1.447626 32.588 12.588
4476 6 1587927 62988.199104 2529086114.439343 16.356 199.561757 -0.043683 3.354524 0.009473 -2492487735.14 -936411217.409 108511940.604 -3.185 -5.35 -3.171 -113460756.705 -91066668.715 -39475106.425 19.393 -20.97 -8.959 1.448582 32.588 12.588
4487 6 1594305 62997.159549 2543202263.030282 20.304 199.193287 -0.039871 3.42613 0.006438 -2494948331.083 -940550676.53 106057337.952 -3.172 -5.345 -3.171 -97403020.114 -105952031.527 -45928533.028 22.505 -18.056 -7.686 1.857809 32.636 12.636
4477 6 1587977 62988.222915 2529119831.327211 16.422 199.560718 -0.043624 3.354749 0.009459 -2492494287.763 -936422222.791 108505418.391 -3.185 -5.35 -3.171 -113420805.533 -91109760.08 -39493533.407 19.445 -20.921 -8.956 1.449705 32.588 12.588
