ObjID,H_r,GS,u-r,g-r,i-r,z-r,y-r
STC001TFa,7.27,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001TGa,7.52,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001THa,8.1,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001TIa,8.28,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001TJa,7.77,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001TKa,8.99,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001TLa,8.65,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001TMa,6.48,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001TNa,3.31,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001TOa,7.87,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001TPa,8.66,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001TQa,8.16,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001TRa,7.01,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001TSa,6.2,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001TTa,7.0,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001TUa,6.92,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001TVa,7.61,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001TWa,7.17,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001TXa,7.92,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001TYa,8.08,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001TZa,7.74,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001U0a,7.85,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001U1a,8.27,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001U2a,8.6,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001U3a,7.12,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001U4a,8.08,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001U5a,7.96,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001U6a,6.77,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001U7a,8.61,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001U8a,8.51,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001U9a,6.32,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Uaa,8.67,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Uba,8.65,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Uca,8.73,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Uda,8.05,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Uea,8.71,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Ufa,7.14,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Uga,7.97,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Uha,7.57,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Uia,7.51,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Uja,8.15,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Uka,7.44,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Ula,6.86,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Uma,7.68,0.15,1.786,0.474,-0.119,-0.126,-0.131
