ObjID,fieldMJD_TAI,fieldRA_deg,fieldDec_deg,RA_deg,Dec_deg,astrometricSigma_deg,optFilter,trailedSourceMag,trailedSourceMagSigma,fiveSigmaDepth_mag,phase_deg,Range_LTC_km,RangeRate_LTC_km_s,Obj_Sun_LTC_km
632,60289.33111694475,142.7072408,8.25046,143.2909057,8.4696932,1.51e-05,i,23.038,0.112,23.558,7.421924899554252,955234677.5930988,-25.88763552193631,1027718121.825262
632,60293.34247289822,144.6014516,8.8158938,143.2660393,8.4266614,2.11e-05,i,22.814,0.135,23.307,7.147111371763889,946459990.5432024,-24.88160025818919,1027524463.8325979
632,60295.34882897933,141.989729,8.6301382,143.2396719,8.4103477,1.51e-05,i,22.77,0.119,23.436,6.995169468115071,942201068.8887864,-24.323120459228644,1027430413.0384185
632,60296.348160363086,142.862053,9.1903578,143.223086,8.4035175,1.45e-05,i,22.835,0.112,23.497,6.9159395624626026,940114714.0947994,-24.041941182880393,1027384267.5940189
632,60303.34171608666,143.0411449,9.2770025,143.045325,8.3797835,7e-06,r,22.88,0.061,24.259,6.2969482246453135,926227461.9602264,-21.863767651786656,1027074361.26669
632,60303.353430299256,143.0411449,9.2770025,143.0449073,8.3797708,1.11e-05,i,22.778,0.099,23.584,6.295796085390061,926205350.7514791,-21.83058083239311,1027073861.321961
632,60311.356196394256,141.5031202,8.9870518,142.7145416,8.4039424,3.07e-05,z,22.598,0.222,22.542,5.455763268250885,912053318.8067636,-18.872984061195066,1026747284.2530655
632,60315.24430177302,141.4554595,8.1858813,142.5089213,8.4349692,1.36e-05,r,22.651,0.084,23.771,5.001302672825784,905938645.408252,-17.544751592009483,1026599421.8717418
632,60315.26812799064,141.4554595,8.1858813,142.5075168,8.43521,1.17e-05,i,22.608,0.09,23.583,4.998383655900622,905902597.3560638,-17.47740196772009,1026598537.5801059
632,60322.24819483081,141.0466609,9.4406351,142.0713806,8.5214511,7.9e-06,g,23.108,0.06,24.558,4.115539583844984,896328877.8291812,-14.380554158370463,1026350916.8702579
