,ccdVisitId,visitID,ra,decl,llcra,llcdec,ulcra,ulcdec,urcra,urcdec,lrcra,lrcdec
0,221579000,221579,51.8293429,-43.6458169,51.6802988,-43.7614018,51.6722685,-43.5355979,51.9779112,-43.5299628,51.9870537,-43.7558248
1,221579001,221579,51.8207012,-43.4110371,51.6721202,-43.5266733,51.6643064,-43.300765,51.9688182,-43.2951479,51.9777316,-43.5211083
2,221579002,221579,51.8118067,-43.1769661,51.6637658,-43.2926961,51.6560073,-43.0667141,51.9593704,-43.0609929,51.9682382,-43.2870235
3,221579003,221579,52.1527046,-43.6391888,52.0040891,-43.7552085,51.9950058,-43.5293484,52.3008419,-43.5229084,52.3110214,-43.7488064
4,221579004,221579,52.1430497,-43.4045694,51.9949402,-43.5206635,51.9859923,-43.2947025,52.2906842,-43.2882271,52.3007308,-43.5142243
5,221579005,221579,52.132836,-43.1700748,51.9852712,-43.2862566,51.9763678,-43.0602227,52.2799215,-43.0536576,52.2899157,-43.2797257
6,221579006,221579,52.4766906,-43.6319707,52.3286171,-43.7484848,52.3182995,-43.5225853,52.6242701,-43.515206,52.6356851,-43.7411245
7,221579007,221579,52.4656254,-43.3972752,52.3179998,-43.5138163,52.3079272,-43.2878163,52.6127545,-43.2804906,52.6239307,-43.506518
8,221579008,221579,52.4546553,-43.1629697,52.3075804,-43.2795929,52.2975476,-43.0535233,52.6012331,-43.0461126,52.6123672,-43.2722072
9,221579009,221579,51.8034618,-42.9405131,51.6558205,-43.0562173,51.6484088,-42.8301886,51.9506347,-42.8245736,51.9591494,-43.0506539
10,221579010,221579,51.7950418,-42.7059708,51.6479443,-42.8217411,51.6405818,-42.5956966,51.9416674,-42.5899801,51.9501247,-42.8160733
11,221579011,221579,51.7868375,-42.4715674,51.6402213,-42.5873407,51.6330395,-42.3613047,51.9329847,-42.3555781,51.9412603,-42.5816616
12,221579012,221579,52.1230526,-42.9342237,51.9759672,-43.0504318,51.967255,-42.8243531,52.2696586,-42.8177907,52.2794754,-43.0439058
13,221579013,221579,52.1134162,-42.7000062,51.9668388,-42.8162455,51.9582496,-42.5901536,52.25951,-42.5835467,52.2692086,-42.8096792
14,221579014,221579,52.1040228,-42.4653507,51.9579382,-42.5815992,51.949502,-42.3555166,52.2496192,-42.3488925,52.2591657,-42.5750171
15,221579015,221579,52.4434215,-42.9273284,52.296759,-43.0439268,52.2870397,-42.8178067,52.5895839,-42.8105056,52.6004058,-43.0366517
16,221579016,221579,52.4327132,-42.692486,52.2866009,-42.8091352,52.2769363,-42.5830022,52.5783372,-42.5756247,52.5891052,-42.8017851
17,221579017,221579,52.4220405,-42.4578257,52.2764353,-42.5744878,52.2668963,-42.3483621,52.5671525,-42.3409645,52.5777994,-42.5671113
18,221579018,221579,51.7790734,-42.2358097,51.6330685,-42.3516656,51.6258166,-42.1256797,51.9246047,-42.1197501,51.9329662,-42.3457871
19,221579019,221579,51.7711019,-42.0014275,51.6256268,-42.1172932,51.6184553,-41.8913761,51.9161003,-41.8853635,51.9243727,-42.111334
20,221579020,221579,51.76319,-41.7671114,51.6181919,-41.8829376,51.6112119,-41.6571168,51.90772,-41.6511053,51.9158,-41.8769763
21,221579021,221579,52.0952345,-42.2290495,51.949715,-42.3453363,51.9413009,-42.1192986,52.240271,-42.1125652,52.2497824,-42.3386402
22,221579022,221579,52.0860111,-41.9946742,51.9409641,-42.1109263,51.9327424,-41.8849529,52.2305731,-41.878233,52.2398954,-42.1042436
23,221579023,221579,52.0767314,-41.7601502,51.9322204,-41.8763943,51.9240743,-41.6505198,52.2207622,-41.6437299,52.2300015,-41.8696372
24,221579024,221579,52.411789,-42.2217356,52.2667888,-42.3384541,52.2571913,-42.1123777,52.5562911,-42.1048199,52.5669935,-42.330922
25,221579025,221579,52.4013264,-41.9871577,52.2567799,-42.103826,52.2474118,-41.877815,52.5453767,-41.8703095,52.555848,-42.096346
26,221579026,221579,52.3909731,-41.7526468,52.2470095,-41.8693314,52.2376251,-41.6434206,52.5344443,-41.6357922,52.544925,-41.8617245
27,221579027,221579,52.8400035,-44.327636,52.6908878,-44.4443064,52.6791367,-44.2188568,52.9886126,-44.2106858,53.001461,-44.4361462
28,221579028,221579,52.8271465,-44.0935709,52.6785434,-44.2103475,52.6669105,-43.9847119,52.9752488,-43.9765263,52.9879783,-44.2021739
29,221579029,221579,52.8144219,-43.8593966,52.6663473,-43.9762787,52.6547969,-43.7504862,52.9620001,-43.7422616,52.9746445,-43.9680651
30,221579030,221579,53.1672229,-44.3183771,53.018675,-44.4355299,53.0057455,-44.2100695,53.3152619,-44.2009574,53.3292781,-44.4264112
31,221579031,221579,53.1533622,-44.0844551,53.0052871,-44.2016847,52.9925358,-43.9760366,53.3009209,-43.966967,53.3147615,-44.1926077
32,221579032,221579,53.1392178,-43.8502087,52.9916407,-43.9675161,52.9790331,-43.7417109,53.2862729,-43.7326508,53.2999831,-43.9584563
33,221579033,221579,53.4945064,-44.3084617,53.3464941,-44.426054,53.3324912,-44.2005981,53.6419917,-44.190606,53.6570941,-44.4160481
34,221579034,221579,53.4798183,-44.0747259,53.3322782,-44.1923871,53.3184556,-43.9667447,53.6268295,-43.9568104,53.6417482,-44.1824417
35,221579035,221579,53.4645848,-43.8403937,53.3176381,-43.9581875,53.3037793,-43.7323893,53.6110133,-43.7223614,53.6259676,-43.948143
36,221579036,221579,52.8024161,-43.623917,52.6548422,-43.7408705,52.6434253,-43.5149452,52.9494868,-43.5067199,52.9619927,-43.7326519
37,221579037,221579,52.7898537,-43.3894765,52.642751,-43.5064675,52.6315248,-43.2804411,52.9364479,-43.2722461,52.9487723,-43.4982835
38,221579038,221579,52.7774181,-43.1544965,52.6308336,-43.2715397,52.619726,-43.0454424,52.9235039,-43.0372304,52.9357131,-43.2633391
39,221579039,221579,53.1263021,-43.6145865,52.979282,-43.7319927,52.9667067,-43.5060582,53.2728069,-43.4969406,53.2864709,-43.7228713
40,221579040,221579,53.1124217,-43.3799689,52.9659066,-43.4974306,52.953461,-43.2713969,53.2584189,-43.2622797,53.2719637,-43.4883106
