ObjID,H_r,g-r,i-r,z-r
1997 RT5,7.041844097858489,0.6492987154650472,-0.33035573371360183,-0.32054791485201
1999 RB216,7.084024978221171,0.8017180270744917,-0.31725404199199775,-0.4313088538718727
1999 RG215,7.264396704058855,0.9041418028260239,-0.23215114442255907,-0.7995762340435496
1999 RK215,7.6062689119386615,0.7764826932655988,-0.22669382811844901,-0.6018401894897704
1999 RN215,6.576231352545731,1.129137129973112,-0.40186141134145625,-0.5674135604556713
2000 OL67,6.922351127309286,1.0191519049785436,-0.44812064944610147,-0.5860444847174953
2000 QC226,6.8816358613129065,1.0563535593723248,-0.399814226597089,-0.6303460374252519
2001 QE298,7.590179452616441,0.9669673658295854,-0.25277477649010227,-0.6118186565499292
2001 QF298,5.232070625092517,0.44891647200963264,-0.11431134685756396,-0.19988045200096916
2001 QF331,7.511246488427242,1.1452137024313433,-0.2914295112667558,-0.26371004631242567
2001 QG298,6.483812684777918,1.0342100275910457,-0.3673401048044519,-0.3535812556682452
2001 QH298,8.162936943737305,0.5148823232739619,-0.2499483667282047,-0.21077301062203804
2001 QO297,6.469099419878168,0.906124089994909,-0.34666585778507847,-0.5186505793132219
2001 QP297,6.843225849709549,0.9866657035589942,-0.35467228994360395,-0.48592888692660147
2001 QQ322,6.655531645387578,0.8839674576166922,-0.43087603646845923,-0.5652770862516356
2001 QS322,6.991493712790033,1.0337381346149297,-0.35141553012857274,-0.6237824751836285
2002 PA149,6.432270344683419,0.8024466011730949,-0.339986803789336,-0.5788985973629054
2002 PD149,6.768661845377936,0.8360945916865961,-0.33628510593880845,-0.34508566495720777
2002 PG150,7.97513364369753,0.8964685993079713,-0.4220609547683918,-0.7177665036128061
2003 QB91,6.7043205341647845,1.0695344885298577,-0.35968427877686454,-0.3789989015482405
2003 QM91,6.43443245007669,0.825379802882101,-0.35231375664464076,-0.5058631082565253
2003 QO91,7.220136306297496,0.8012210174958498,-0.26469287205771147,-0.2187749348107942
2003 QQ91,7.785377053738449,0.7269685983067097,-0.33844609855345476,-0.2604068294926525
2003 QT91,7.362154390011328,0.7813560303508821,-0.5390189420812346,-0.7475963433612837
2003 QV90,7.1721708159913735,1.1279652811031526,-0.27642459950694215,-0.2617527382921177
2003 QW90,5.009034402363591,0.9563955651090053,-0.3672359884648584,-0.5200575340309543
2003 QX111,6.964438907180545,0.9644583654801318,-0.4470611966484257,-0.633067540238753
2003 QY111,7.287728460338988,0.8798138987026819,-0.2315667105240538,-0.5424454335732437
2003 QZ111,7.246292759736166,0.9543971971032229,-0.27504998151760995,-0.5367502671451653
2003 SQ317,6.699730828061929,0.5743157544478749,-0.02532666642316026,-0.12135156294149141
2003 SS422,7.210959217628927,0.703532590091341,-0.22562219668476743,-0.5034738961668743
2003 UB313,-1.3057954743768594,0.5625472063184144,-0.09931578596842082,-0.005554382886244808
2004 PA108,7.010309467562001,0.8195128965691201,-0.5573905576143436,-0.5305117475434199
2004 PW107,6.973387157594585,0.8792364699237842,-0.3426942657747929,-0.6296327565240745
2004 QE29,7.361835310910747,0.6227074775044524,-0.1601029546898172,-0.37920662479588135
2004 TY364,4.283142922132422,0.7952097975951149,-0.30978058858897883,-0.46856077271789975
2005 PQ21,7.3463452825291835,0.6116858659086447,-0.2867784892903355,-0.36113544590698476
2005 PU21,6.3605857420744965,0.9801429319639943,-0.36429621103321747,-0.540705865893208
2005 QU182,3.6678029936805334,0.7908976304344626,-0.29208196300793954,-0.38714355823484853
2005 RN43,3.5006166245601467,0.8105885807208046,-0.28470515023957826,-0.3057899533364291
2005 SA278,6.3870471021070525,0.572727151027019,-0.2202933835210405,-0.2729936526025183
2005 TB190,4.268875674232882,0.8078025853488234,-0.2920472471212505,-0.42289137783496966
2006 QA181,7.605651242174405,0.9742321028658592,-0.3557573008477412,-0.32976413613707234
2006 QB181,7.223738478015784,0.5683100788092579,-0.486366776594493,-0.7614774057951508
2006 QE181,7.781107301578066,1.2386437725255655,-0.5206004204597101,-0.568513817856266
2006 QF181,6.929055840869326,0.8756838120759665,-0.2591694840164722,-0.5676004587376917
2006 QQ180,6.506831754745688,0.9450744917242162,-0.3955641364052769,-0.6897834020389255
2006 SG415,7.607573150940992,0.8598805087242726,-0.24028868955086713,-0.33496472147636
2007 RW10,6.690911532518863,0.5733292225681876,-0.19257834679529667,-0.275126905242857
2007 TB418,5.9099979416272905,0.550440200376499,-0.32329221422793364,-0.5608181402181944
2007 TZ417,7.711470070736082,0.4694043470004681,-0.41841051904075016,-0.7132996951235231
2007 VK302,7.094635642913984,0.5437799524110394,-0.41235805821605265,-0.4372810110284581
2008 SO266,6.326409469844775,0.9081928760518895,-0.35863451568018473,-0.4473704393843388
2008 UA332,6.285085376479545,0.6139307031008737,-0.2358401015968812,-0.3221372738424862
2010 JJ210,6.8911303436559574,0.8886795750018524,-0.5029288146814135,-0.6677654915201503
2010 RD188,5.760478904652993,0.5453966541494804,-0.1641987418397898,-0.2553816204837105
2010 RF188,5.141540505564494,0.8648933998113794,-0.29439175683903945,-0.38889678972860553
2010 RF64,5.495716276897918,0.46424370903569234,-0.08838852077844483,-0.05123710228917443
2010 RO64,5.1598971701267775,0.928316526848108,-0.38634322067868926,-0.5661221320975471
2010 TJ,5.388616251456616,0.43018329580625786,-0.08376650163587729,-0.0824235854805732
2010 TY53,5.486360514167169,0.5020072067493107,-0.1372038529963086,-0.25365078406995256
2011 SO277,7.684881340896533,0.8007837611854567,-0.29538032515562745,-0.5308079215022241
2011 SW281,6.427312114015097,0.8434555086046595,-0.354315645600401,-0.6170509248967703
2012 TC324,6.5411264980673085,1.049124866529038,-0.3601666226698852,-0.6923566798332044
2012 TD324,6.981589166233492,0.6227461858274349,-0.1788180197283303,-0.49239225701500994
