ObjID,q,e,inc,node,argPeri,t_p_MJD_TDB,epochMJD_TDB,FORMAT
2013 RQ98,31.50304,0.434969,37.6902012,11.217322,245.11523,51115.63553127857,57388.00078916584,BCOM
2013 RQ155,35.20872,0.3127878,38.512624,49.904089,318.10673,70912.6186807432,57388.00078916584,BCOM
2013 RJ158,33.1599,0.6317118,17.1531236,192.476303,86.90901,49071.28431501896,57388.00078916584,BCOM
2013 RR155,38.01006,0.3888074,34.1639245,3.919819,223.48341,40494.02821228519,57388.00078916584,BCOM
2013 QX103,37.16496,0.2634111,32.489156,50.492758,232.08567,53668.35653285236,57388.00078916584,BCOM
2013 RS155,37.04406,0.2656871,34.0854519,45.668942,331.93373,75271.41015073523,57388.00078916584,BCOM
2013 RT155,35.7334,0.6532658,26.0412632,172.286959,222.13441,72311.11233072454,57388.00078916584,BCOM
2013 QR99,39.27786,0.0424619,32.3697243,50.967619,263.2358,54056.16568443023,57388.00078916584,BCOM
2010 JJ210,37.02888,0.248571,7.1680352,215.924708,101.57226,50544.66648974153,57388.00078916584,BCOM
2013 SG113,38.26455,0.1790943,8.0398836,336.054539,301.54998,37363.34042993493,57388.00078916584,BCOM
2013 RM124,35.27102,0.5981334,13.8630555,187.271517,181.29967,58717.268870726526,57388.00078916584,BCOM
2005 PU21,29.25208,0.8324395,6.1751043,192.493034,227.85854,66378.9157707288,57388.00078916584,BCOM
2013 RU155,40.32141,0.0829944,1.7972896,287.207332,48.51276,52407.029222885176,57388.00078916584,BCOM
2003 QZ111,40.39352,0.0607554,2.659579,326.045774,16.62727,53113.58639288871,57388.00078916584,BCOM
2013 RM98,37.64285,0.1311682,28.0855889,352.438206,252.64294,29212.05442248409,57388.00078916584,BCOM
2013 RP158,41.69543,0.0576162,0.2339614,236.253764,77.61713,45877.2617771322,57388.00078916584,BCOM
2013 RE124,40.00382,0.6690143,31.6746866,175.660852,160.02099,53655.56711285135,57388.00078916584,BCOM
2013 RO124,35.69547,0.0787883,24.5740413,181.473052,293.71606,82568.7075607326,57388.00078916584,BCOM
2014 PM82,36.33006,0.344299,23.6775108,358.406587,315.02073,47245.434360296684,57388.00078916584,BCOM
2013 RV155,38.55986,0.0605048,28.284859,1.489974,37.82271,65886.74619075966,57388.00078916584,BCOM
2013 RS109,39.39913,0.1182935,4.8468414,353.501631,306.40128,42211.6958029699,57388.00078916584,BCOM
2013 RF124,41.77966,0.0378855,4.1260287,44.302337,174.17851,15390.507152501461,57388.00078916584,BCOM
2013 RB109,35.86412,0.107938,23.1516486,175.856598,223.91311,64467.491130754395,57388.00078916584,BCOM
2013 RP109,40.07546,0.1035301,2.3505937,105.552261,269.40362,59234.904400746374,57388.00078916584,BCOM
