,detectorId,x,y
0,N1,-1.0811,-0.157306
1,N1,-1.0811,-0.00750506
2,N1,-0.782681,-0.00750506
3,N1,-0.782681,-0.157306
4,N2,-0.771362,-0.157385
5,N2,-0.771362,-0.00749848
6,N2,-0.472493,-0.00749848
7,N2,-0.472493,-0.157385
8,N3,-0.461205,-0.157448
9,N3,-0.461205,-0.00749265
10,N3,-0.161464,-0.00749265
11,N3,-0.161464,-0.157448
12,N4,-0.150127,-0.15747
13,N4,-0.150127,-0.00749085
14,N4,0.149894,-0.00749085
15,N4,0.149894,-0.15747
16,N5,0.161033,-0.157638
17,N5,0.161033,-0.0074294
18,N5,0.460796,-0.0074294
19,N5,0.460796,-0.157638
20,N6,0.472171,-0.157286
21,N6,0.472171,-0.00740563
22,N6,0.771045,-0.00740563
23,N6,0.771045,-0.157286
24,N7,0.782398,-0.157141
25,N7,0.782398,-0.0074798
26,N7,1.08083,-0.0074798
27,N7,1.08083,-0.157141
28,N8,-0.92615,-0.321782
29,N8,-0.92615,-0.172004
30,N8,-0.627492,-0.172004
31,N8,-0.627492,-0.321782
32,N9,-0.616455,-0.322077
33,N9,-0.616455,-0.172189
34,N9,-0.317043,-0.172189
35,N9,-0.317043,-0.322077
36,N10,-0.305679,-0.322071
37,N10,-0.305679,-0.17217
38,N10,-0.00571999,-0.17217
39,N10,-0.00571999,-0.322071
40,N11,0.00565427,-0.322243
41,N11,0.00565427,-0.172254
42,N11,0.305554,-0.172254
43,N11,0.305554,-0.322243
44,N12,0.31684,-0.322099
45,N12,0.31684,-0.172063
46,N12,0.616183,-0.172063
47,N12,0.616183,-0.322099
48,N13,0.627264,-0.321792
49,N13,0.627264,-0.171887
50,N13,0.925858,-0.171887
51,N13,0.925858,-0.321792
52,N14,-0.926057,-0.485961
53,N14,-0.926057,-0.336213
54,N14,-0.62726,-0.336213
55,N14,-0.62726,-0.485961
56,N15,-0.616498,-0.486444
57,N15,-0.616498,-0.336606
58,N15,-0.317089,-0.336606
59,N15,-0.317089,-0.486444
60,N16,-0.30558,-0.486753
61,N16,-0.30558,-0.336864
62,N16,-0.00578257,-0.336864
63,N16,-0.00578257,-0.486753
64,N17,0.00532179,-0.486814
65,N17,0.00532179,-0.33687
66,N17,0.305123,-0.33687
67,N17,0.305123,-0.486814
68,N18,0.316662,-0.486495
69,N18,0.316662,-0.336537
70,N18,0.616018,-0.336537
71,N18,0.616018,-0.486495
72,N19,0.62708,-0.485992
73,N19,0.62708,-0.336061
74,N19,0.92578,-0.336061
75,N19,0.92578,-0.485992
76,N20,-0.770814,-0.650617
77,N20,-0.770814,-0.500679
78,N20,-0.471826,-0.500679
79,N20,-0.471826,-0.650617
80,N21,-0.460777,-0.650817
81,N21,-0.460777,-0.501097
82,N21,-0.161224,-0.501097
83,N21,-0.161224,-0.650817
84,N22,-0.149847,-0.650816
85,N22,-0.149847,-0.501308
86,N22,0.149886,-0.501308
87,N22,0.149886,-0.650816
88,N23,0.161001,-0.650946
89,N23,0.161001,-0.501263
90,N23,0.460566,-0.501263
91,N23,0.460566,-0.650946
92,N24,0.47163,-0.650495
93,N24,0.47163,-0.500592
94,N24,0.770632,-0.500592
95,N24,0.770632,-0.650495
96,N25,-0.615548,-0.814774
97,N25,-0.615548,-0.665052
98,N25,-0.316352,-0.665052
99,N25,-0.316352,-0.814774
100,N26,-0.305399,-0.814862
101,N26,-0.305399,-0.665489
102,N26,-0.00591217,-0.665489
103,N26,-0.00591217,-0.814862
104,N27,0.00550714,-0.815022
105,N27,0.00550714,-0.665418
106,N27,0.304979,-0.665418
107,N27,0.304979,-0.815022
108,N28,0.316126,-0.814707
109,N28,0.316126,-0.664908
110,N28,0.615276,-0.664908
111,N28,0.615276,-0.814707
112,N29,-0.46018,-0.97887
113,N29,-0.46018,-0.829315
114,N29,-0.16101,-0.829315
115,N29,-0.16101,-0.97887
116,N31,0.160884,-0.978775
117,N31,0.160884,-0.829426
118,N31,0.460147,-0.829426
119,N31,0.460147,-0.978775
120,S1,-1.08096,0.00715956
121,S1,-1.08096,0.15689
122,S1,-0.782554,0.15689
123,S1,-0.782554,0.00715956
124,S2,-0.7713,0.0074194
125,S2,-0.7713,0.157269
126,S2,-0.47242,0.157269
127,S2,-0.47242,0.0074194
128,S3,-0.4611,0.00723009
129,S3,-0.4611,0.157192
130,S3,-0.161377,0.157192
131,S3,-0.161377,0.00723009
132,S4,-0.149836,0.00737069
133,S4,-0.149836,0.157441
134,S4,0.150222,0.157441
135,S4,0.150222,0.00737069
136,S5,0.161297,0.0072399
137,S5,0.161297,0.1572
138,S5,0.461031,0.1572
139,S5,0.461031,0.0072399
140,S6,0.472537,0.00728934
141,S6,0.472537,0.157137
142,S6,0.771441,0.157137
143,S6,0.771441,0.00728934
144,S7,0.782516,0.074830955
145,S7,0.782516,0.15709
146,S7,1.08097,0.15709
147,S7,1.08097,0.074830955
148,S8,-0.92583,0.171786
149,S8,-0.92583,0.32173
150,S8,-0.627259,0.32173
151,S8,-0.627259,0.171786
152,S9,-0.616329,0.171889
153,S9,-0.616329,0.321823
154,S9,-0.31694,0.321823
155,S9,-0.31694,0.171889
156,S10,-0.305695,0.172216
157,S10,-0.305695,0.322179
158,S10,-0.00579187,0.322179
159,S10,-0.00579187,0.172216
160,S11,0.00556739,0.172237
161,S11,0.00556739,0.322278
162,S11,0.305472,0.322278
163,S11,0.305472,0.172237
164,S12,0.316973,0.172015
165,S12,0.316973,0.322057
166,S12,0.61631,0.322057
167,S12,0.61631,0.172015
168,S13,0.627389,0.171749
169,S13,0.627389,0.321672
170,S13,0.925972,0.321672
171,S13,0.925972,0.171749
172,S14,-0.925847,0.335898
173,S14,-0.925847,0.48578
174,S14,-0.627123,0.48578
175,S14,-0.627123,0.335898
176,S15,-0.616201,0.336498
177,S15,-0.616201,0.486438
178,S15,-0.316839,0.486438
179,S15,-0.316839,0.336498
180,S16,-0.305558,0.336904
181,S16,-0.305558,0.486749
182,S16,-0.00574858,0.486749
183,S16,-0.00574858,0.336904
184,S17,0.00557115,0.33675
185,S17,0.00557115,0.486491
186,S17,0.305423,0.486491
187,S17,0.305423,0.33675
188,S18,0.316635,0.33649
189,S18,0.316635,0.486573
190,S18,0.615931,0.486573
191,S18,0.615931,0.33649
192,S19,0.627207,0.336118
193,S19,0.627207,0.485923
194,S19,0.925969,0.485923
195,S19,0.925969,0.336118
196,S20,-0.770675,0.500411
197,S20,-0.770675,0.65042
198,S20,-0.471718,0.65042
199,S20,-0.471718,0.500411
200,S21,-0.46072,0.501198
201,S21,-0.46072,0.650786
202,S21,-0.161101,0.650786
203,S21,-0.161101,0.501198
204,S22,-0.149915,0.501334
205,S22,-0.149915,0.650856
206,S22,0.14982,0.650856
207,S22,0.14982,0.501334
208,S23,0.160973,0.501075
209,S23,0.160973,0.650896
210,S23,0.460482,0.650896
211,S23,0.460482,0.501075
212,S24,0.47167,0.50045
213,S24,0.47167,0.650441
214,S24,0.770647,0.650441
215,S24,0.770647,0.50045
216,S25,-0.615564,0.66501
217,S25,-0.615564,0.814674
218,S25,-0.316325,0.814674
219,S25,-0.316325,0.66501
220,S26,-0.30512,0.665531
221,S26,-0.30512,0.81505
222,S26,-0.0056517,0.81505
223,S26,-0.0056517,0.665531
224,S27,0.00560886,0.665509
225,S27,0.00560886,0.815022
226,S27,0.305082,0.815022
227,S27,0.305082,0.665509
228,S28,0.316158,0.665058
229,S28,0.316158,0.814732
230,S28,0.615391,0.814732
231,S28,0.615391,0.665058
232,S29,-0.46021,0.829248
233,S29,-0.46021,0.978699
234,S29,-0.160988,0.978699
235,S29,-0.160988,0.829248
236,S30,-0.150043,0.829007
237,S30,-0.150043,0.978648
238,S30,0.149464,0.978648
239,S30,0.149464,0.829007
240,S31,0.160898,0.82932
241,S31,0.160898,0.978804
242,S31,0.460111,0.978804
0,S31,0.460111,0.82932
